COD_LOCAL,MAX_CARREGAMENTO,MAX_DESCARREGAMENTO,MAX_ESTOQUE,CALADO_DWT,TIPO
Seireitei,1000000,20000,1530000,85000,POD
Mountglass,1000000,1000000,3000000,85000,POD
Ngorim,1000000,1000000,3000000,25000,POD
Nassauia,1000000,70000,1605000,45000,POD
Osaria,1000000,100000,1650000,95000,POD
Ossandor,1000000,20000,1530000,45000,POD
Pangara,1000000,100000,1650000,120000,POD
Pausen,1000000,1000000,3000000,350000,POD
Tahlenwald,1000000,120000,1680000,400000,POD
Dirtmouth,1000000,100000,1650000,85000,POD
Konoha,1000000,100000,1650000,90000,POD
Zanarkand,1000000,1000000,3000000,300000,POD
Surakai,1000000,1000000,3000000,250000,POD
Tchurion,1000000,100000,1650000,40000,POD
Tomarath,1000000,1000000,3000000,60000,POD
Targalon,1000000,100000,1650000,60000,POD
Marineford,1000000,70000,1605000,25000,POD
Viscara,1000000,100000,1650000,300000,POD
Xinthar,1000000,100000,1650000,35000,POD
Yeygard,1000000,100000,1650000,20000,POD
Yjigar,1000000,50000,1575000,95000,POD
Yenfall,1000000,100000,1650000,250000,POD
Yokara,1000000,1000000,3000000,200000,POD
Zuldazar,1000000,78000,1617000,90000,POD
Zaphura,1000000,100000,1650000,75000,POD
Quasmar,1000000,1000000,3000000,350000,POD
Lothlorien,1000000,15000,1522500,95000,POD
Promethea,1000000,1000000,3000000,325000,POD
Namek,1000000,20000,1530000,150000,POD
Ulthar,1000000,5000,1507500,250000,POD
Kobaris,1000000,100000,1650000,350000,POD
Calcara,1000000,100000,1650000,120000,POD
Nighthaven,1000000,100000,1650000,20000,POD
TwinPillars,1000000,100000,1650000,300000,POD
Chenara,1000000,4000,1506000,40000,POD
Wuhaven,1000000,7000,1510500,200000,POD
Qineth,1000000,1000000,3000000,20000,POD
Duskwall,1000000,10000,1515000,180000,POD
Ykoura,1000000,10000,1515000,180000,POD
Sidora,1000000,10000,1515000,400000,POD
Dornfall,1000000,100000,1650000,85000,POD
Manifold,1000000,100000,1650000,25000,POD
Morrowind,1000000,100000,1650000,400000,POD
Kharon,1000000,100000,1650000,90000,POD
Nosgoth,1000000,100000,1650000,150000,POD
Helheim,1000000,20000,1530000,100000,POD
Jakura,1000000,7000,1510500,10000,POD
Tutira,1000000,7000,1510500,30000,POD
Humeria,1000000,1000000,3000000,95000,POD
Nurmengard,1000000,70000,1605000,380000,POD
Kandor,1000000,68000,1602000,325000,POD
Amoneth,1000000,100000,1650000,380000,POD
Ashkora,1000000,100000,1650000,20000,POD
Yatora,1000000,100000,1650000,100000,POD
Iskeld,1000000,100000,1650000,50000,POD
Galdrin,1000000,100000,1650000,150000,POD
Nyagara,1000000,100000,1650000,250000,POD
Obsidian,1000000,100000,1650000,90000,POD
Bethlehem,1000000,100000,1650000,35000,POD
Termina,1000000,13500,1520250,250000,POD
Imre,1000000,20000,1530000,300000,POD
Altissia,1000000,15000,1522500,10000,POD
Alabasta,1000000,90000,1635000,40000,POD
Kakariko,1000000,10000,1515000,80000,POD
Thalassar,1000000,100000,1650000,45000,POD
Windscar,1000000,61000,1591500,50000,POD
Cartheia,1000000,100000,1650000,100000,POD
Fernwall,1000000,20000,1530000,325000,POD
Azural,1000000,100000,1650000,150000,POD
Stonegate,1000000,1000000,3000000,325000,POD
Johto,1000000,45000,1567500,300000,POD
Besaid,1000000,66000,1599000,75000,POD
Walden,1000000,23000,1534500,100000,POD
Philgaia,1000000,50000,1575000,25000,POD
Paldea,1000000,30000,1545000,10000,POD
Ranskar,1000000,5000,1507500,400000,POD
Vancross,1000000,100000,1650000,80000,POD
Valisthea,1000000,7000,1510500,70000,POD
Noctis,1000000,15000,1522500,180000,POD
Rivenspire,1000000,100000,1650000,200000,POD
Solstheim,1000000,15000,1522500,25000,POD
Memphos,1000000,9000,1513500,90000,POD
Muskara,1000000,9000,1513500,40000,POD
Huern,1000000,20000,1530000,95000,POD
Greywatch,1000000,35000,1552500,180000,POD
Salvaris,1000000,100000,1650000,80000,POD
Piscara,1000000,10000,1515000,180000,POD
Tuxara,1000000,8000,1512000,120000,POD
Pandora,1000000,30000,1545000,400000,POD
Deepwater,1000000,55000,1582500,100000,POD
Riorin,1000000,10000,1515000,30000,POD
Posthaven,1000000,100000,1650000,95000,POD
Winhill,1000000,30000,1545000,325000,POD
Ishgard,1000000,50000,1575000,60000,POD
Ironfall,1000000,12000,1518000,50000,POD
Tarbean,1000000,50000,1575000,65000,POD
Tempestia,1000000,15000,1522500,50000,POD
Nenaris,1000000,100000,1650000,50000,POD
Stevanor,1000000,100000,1650000,200000,POD
Deeptrench,1000000,100000,1650000,50000,POD
Uinhold,1000000,100000,1650000,10000,POD
Khengar,1000000,100000,1650000,400000,POD
Itaqui,1000000,183520,275280,70000,POL
Portocel,1000000,385000,577500,52000,POL
Santos,1000000,1000000,1000000,1000000,POL
