COD_CLIENTE,ATIVO
CLIENTE120,TRUE
CLIENTE121,TRUE
CLIENTE122,TRUE
CLIENTE123,TRUE
CLIENTE124,TRUE
CLIENTE125,TRUE
CLIENTE126,TRUE
CLIENTE127,TRUE
CLIENTE128,TRUE
CLIENTE129,TRUE
CLIENTE130,TRUE
CLIENTE131,TRUE
CLIENTE132,TRUE
CLIENTE133,TRUE
CLIENTE134,TRUE
CLIENTE135,TRUE
CLIENTE136,TRUE
CLIENTE137,TRUE
CLIENTE138,TRUE
CLIENTE139,TRUE
CLIENTE140,TRUE
CLIENTE141,TRUE
CLIENTE142,TRUE
CLIENTE143,TRUE
CLIENTE144,TRUE
CLIENTE145,TRUE
CLIENTE146,TRUE
CLIENTE147,TRUE
CLIENTE148,TRUE
CLIENTE149,TRUE
CLIENTE150,TRUE
CLIENTE151,TRUE
CLIENTE152,TRUE
CLIENTE153,TRUE
CLIENTE154,TRUE
CLIENTE155,TRUE
CLIENTE156,TRUE
CLIENTE157,TRUE
CLIENTE158,TRUE
CLIENTE159,TRUE
CLIENTE160,TRUE
CLIENTE161,TRUE
CLIENTE162,TRUE
CLIENTE163,TRUE
CLIENTE164,TRUE
CLIENTE165,TRUE
CLIENTE166,TRUE
CLIENTE167,TRUE
CLIENTE168,TRUE
CLIENTE169,TRUE
CLIENTE170,TRUE
CLIENTE171,TRUE
CLIENTE172,TRUE
CLIENTE173,TRUE
CLIENTE174,TRUE
CLIENTE175,TRUE
CLIENTE176,TRUE
CLIENTE177,TRUE
CLIENTE178,TRUE
CLIENTE179,TRUE
CLIENTE180,TRUE
CLIENTE181,TRUE
CLIENTE182,TRUE
CLIENTE183,TRUE
CLIENTE184,TRUE
CLIENTE185,TRUE
CLIENTE186,TRUE
CLIENTE187,TRUE
CLIENTE188,TRUE
CLIENTE189,TRUE
CLIENTE190,TRUE
CLIENTE191,TRUE
CLIENTE192,TRUE
CLIENTE193,TRUE
CLIENTE194,TRUE
CLIENTE195,TRUE
CLIENTE196,TRUE
CLIENTE197,TRUE
CLIENTE198,TRUE
CLIENTE199,TRUE
CLIENTE200,TRUE
CLIENTE201,TRUE
CLIENTE202,TRUE
CLIENTE203,TRUE
CLIENTE204,TRUE
CLIENTE205,TRUE
CLIENTE206,TRUE
CLIENTE207,TRUE
CLIENTE208,TRUE
CLIENTE209,TRUE
CLIENTE210,TRUE
CLIENTE211,TRUE
CLIENTE212,TRUE
CLIENTE213,TRUE
CLIENTE214,TRUE
CLIENTE215,TRUE
CLIENTE216,TRUE
CLIENTE217,TRUE
CLIENTE218,TRUE
CLIENTE219,TRUE
CLIENTE220,TRUE
CLIENTE221,TRUE
CLIENTE222,TRUE
CLIENTE223,TRUE
CLIENTE224,TRUE
CLIENTE225,TRUE
CLIENTE226,TRUE
CLIENTE227,TRUE
CLIENTE228,TRUE
CLIENTE229,TRUE
CLIENTE230,TRUE
CLIENTE231,TRUE
CLIENTE232,TRUE
CLIENTE233,TRUE
CLIENTE234,TRUE
CLIENTE235,TRUE
CLIENTE236,TRUE
CLIENTE237,TRUE
CLIENTE238,TRUE
CLIENTE239,TRUE
CLIENTE240,TRUE
CLIENTE241,TRUE
CLIENTE242,TRUE
CLIENTE243,TRUE
CLIENTE244,TRUE
CLIENTE245,TRUE
CLIENTE246,TRUE
CLIENTE247,TRUE
CLIENTE248,TRUE
CLIENTE249,TRUE
CLIENTE250,TRUE
CLIENTE251,TRUE
CLIENTE252,TRUE
CLIENTE253,TRUE
CLIENTE254,TRUE
CLIENTE255,TRUE
CLIENTE256,TRUE
CLIENTE257,TRUE
CLIENTE258,TRUE
CLIENTE259,TRUE
CLIENTE260,TRUE
CLIENTE261,TRUE
CLIENTE262,TRUE
CLIENTE263,TRUE
CLIENTE264,TRUE
CLIENTE265,TRUE
CLIENTE266,TRUE
CLIENTE267,TRUE
CLIENTE268,TRUE
CLIENTE269,TRUE
CLIENTE270,TRUE
CLIENTE271,TRUE
CLIENTE272,TRUE
CLIENTE273,TRUE
CLIENTE274,TRUE
CLIENTE275,TRUE
CLIENTE276,TRUE
CLIENTE277,TRUE
CLIENTE278,TRUE
CLIENTE279,TRUE
CLIENTE280,TRUE
CLIENTE281,TRUE
CLIENTE282,TRUE
CLIENTE283,TRUE
CLIENTE284,TRUE
CLIENTE285,TRUE
CLIENTE286,TRUE
CLIENTE287,TRUE
CLIENTE288,TRUE
CLIENTE289,TRUE
CLIENTE290,TRUE
CLIENTE291,TRUE
CLIENTE292,TRUE
CLIENTE293,TRUE
CLIENTE294,TRUE
CLIENTE295,TRUE
CLIENTE296,TRUE
CLIENTE297,TRUE
CLIENTE298,TRUE
CLIENTE299,TRUE
CLIENTE300,TRUE
CLIENTE301,TRUE
CLIENTE302,TRUE
CLIENTE303,TRUE
CLIENTE304,TRUE
CLIENTE305,TRUE
CLIENTE306,TRUE
CLIENTE307,TRUE
CLIENTE308,TRUE
CLIENTE309,TRUE
CLIENTE310,TRUE
CLIENTE311,TRUE
CLIENTE312,TRUE
CLIENTE313,TRUE
CLIENTE314,TRUE
CLIENTE315,TRUE
CLIENTE316,TRUE
CLIENTE317,TRUE
CLIENTE318,TRUE
CLIENTE319,TRUE
CLIENTE320,TRUE
CLIENTE321,TRUE
CLIENTE322,TRUE
CLIENTE323,TRUE
CLIENTE324,TRUE
CLIENTE325,TRUE
CLIENTE326,TRUE
CLIENTE327,TRUE
CLIENTE328,TRUE
CLIENTE329,TRUE
CLIENTE330,TRUE
CLIENTE331,TRUE
CLIENTE332,TRUE
CLIENTE333,TRUE
CLIENTE334,TRUE
CLIENTE335,TRUE
CLIENTE336,TRUE
CLIENTE337,TRUE
CLIENTE338,TRUE
CLIENTE339,TRUE
CLIENTE340,TRUE
CLIENTE341,TRUE
CLIENTE342,TRUE
CLIENTE343,TRUE
CLIENTE344,TRUE
CLIENTE345,TRUE
CLIENTE346,TRUE
CLIENTE347,TRUE
CLIENTE348,TRUE
CLIENTE349,TRUE
CLIENTE350,TRUE
CLIENTE351,TRUE
CLIENTE352,TRUE
CLIENTE353,TRUE
CLIENTE354,TRUE
CLIENTE355,TRUE
CLIENTE356,TRUE
CLIENTE357,TRUE
CLIENTE358,TRUE
CLIENTE359,TRUE
CLIENTE360,TRUE
CLIENTE361,TRUE
CLIENTE362,TRUE
CLIENTE363,TRUE
CLIENTE364,TRUE
CLIENTE365,TRUE
CLIENTE366,TRUE
CLIENTE367,TRUE
CLIENTE368,TRUE
CLIENTE369,TRUE
CLIENTE370,TRUE
CLIENTE371,TRUE
CLIENTE372,TRUE
CLIENTE373,TRUE
CLIENTE374,TRUE
CLIENTE375,TRUE
CLIENTE376,TRUE
CLIENTE377,TRUE
CLIENTE378,TRUE
CLIENTE379,TRUE
CLIENTE380,TRUE
CLIENTE381,TRUE
CLIENTE382,TRUE
CLIENTE383,TRUE
CLIENTE384,TRUE
CLIENTE385,TRUE
CLIENTE386,TRUE
CLIENTE387,TRUE
CLIENTE388,TRUE
CLIENTE389,TRUE
CLIENTE390,TRUE
CLIENTE391,TRUE
CLIENTE392,TRUE
CLIENTE393,TRUE
CLIENTE394,TRUE
CLIENTE395,TRUE
CLIENTE396,TRUE
CLIENTE397,TRUE
CLIENTE398,TRUE
CLIENTE399,TRUE
CLIENTE400,TRUE
CLIENTE401,TRUE
CLIENTE402,TRUE
CLIENTE403,TRUE
CLIENTE404,TRUE
CLIENTE405,TRUE
CLIENTE406,TRUE
CLIENTE407,TRUE
CLIENTE408,TRUE
CLIENTE409,TRUE
CLIENTE410,TRUE
CLIENTE411,TRUE
CLIENTE412,TRUE
CLIENTE413,TRUE
CLIENTE414,TRUE
CLIENTE415,TRUE
CLIENTE416,TRUE
CLIENTE417,TRUE
CLIENTE418,TRUE
CLIENTE419,TRUE
CLIENTE420,TRUE
CLIENTE421,TRUE
CLIENTE422,TRUE
CLIENTE423,TRUE
CLIENTE424,TRUE
CLIENTE425,TRUE
CLIENTE426,TRUE
CLIENTE427,TRUE
CLIENTE428,TRUE
CLIENTE429,TRUE
CLIENTE430,TRUE
CLIENTE431,TRUE
CLIENTE432,TRUE
CLIENTE433,TRUE
CLIENTE434,TRUE
CLIENTE435,TRUE
CLIENTE436,TRUE
CLIENTE437,TRUE
CLIENTE438,TRUE
CLIENTE439,TRUE
CLIENTE440,TRUE
CLIENTE441,TRUE
CLIENTE442,TRUE
CLIENTE443,TRUE
CLIENTE444,TRUE
CLIENTE445,TRUE
CLIENTE446,TRUE
CLIENTE447,TRUE
CLIENTE448,TRUE
CLIENTE449,TRUE
CLIENTE450,TRUE
CLIENTE451,TRUE
CLIENTE452,TRUE
CLIENTE453,TRUE
CLIENTE454,TRUE
CLIENTE455,TRUE
CLIENTE456,TRUE
CLIENTE457,TRUE
CLIENTE458,TRUE
CLIENTE459,TRUE
CLIENTE460,TRUE
CLIENTE461,TRUE
CLIENTE462,TRUE
CLIENTE463,TRUE
CLIENTE464,TRUE
CLIENTE465,TRUE
CLIENTE466,TRUE
CLIENTE467,TRUE
CLIENTE468,TRUE
CLIENTE469,TRUE
CLIENTE470,TRUE
CLIENTE471,TRUE
CLIENTE472,TRUE
CLIENTE473,TRUE
CLIENTE474,TRUE
CLIENTE475,TRUE
CLIENTE476,TRUE
CLIENTE477,TRUE
CLIENTE478,TRUE
CLIENTE479,TRUE
CLIENTE480,TRUE
CLIENTE481,TRUE
CLIENTE482,TRUE
CLIENTE483,TRUE
CLIENTE484,TRUE
CLIENTE485,TRUE
CLIENTE486,TRUE
CLIENTE487,TRUE
CLIENTE488,TRUE
CLIENTE489,TRUE
CLIENTE490,TRUE
CLIENTE491,TRUE
CLIENTE492,TRUE
CLIENTE493,TRUE
CLIENTE494,TRUE
CLIENTE495,TRUE
CLIENTE496,TRUE
CLIENTE497,TRUE
CLIENTE498,TRUE
CLIENTE499,TRUE
CLIENTE500,TRUE
CLIENTE501,TRUE
CLIENTE502,TRUE
CLIENTE503,TRUE
CLIENTE504,TRUE
CLIENTE505,TRUE
CLIENTE506,TRUE
CLIENTE507,TRUE
CLIENTE508,TRUE
CLIENTE509,TRUE
CLIENTE510,TRUE
CLIENTE511,TRUE
CLIENTE512,TRUE
CLIENTE513,TRUE
CLIENTE514,TRUE
CLIENTE515,TRUE
CLIENTE516,TRUE
CLIENTE517,TRUE
CLIENTE518,TRUE
CLIENTE519,TRUE
CLIENTE520,TRUE
CLIENTE521,TRUE
CLIENTE522,TRUE
CLIENTE523,TRUE
CLIENTE524,TRUE
CLIENTE525,TRUE
CLIENTE526,TRUE
CLIENTE527,TRUE
CLIENTE528,TRUE
CLIENTE529,TRUE
CLIENTE530,TRUE
CLIENTE531,TRUE
CLIENTE532,TRUE
CLIENTE533,TRUE
CLIENTE534,TRUE
CLIENTE535,TRUE
CLIENTE536,TRUE
CLIENTE537,TRUE
CLIENTE538,TRUE
CLIENTE539,TRUE
CLIENTE540,TRUE
CLIENTE541,TRUE
CLIENTE542,TRUE
CLIENTE543,TRUE
CLIENTE544,TRUE
CLIENTE545,TRUE
CLIENTE546,TRUE
CLIENTE547,TRUE
CLIENTE548,TRUE
CLIENTE549,TRUE
CLIENTE550,TRUE
CLIENTE551,TRUE
CLIENTE552,TRUE
CLIENTE553,TRUE
CLIENTE554,TRUE
CLIENTE555,TRUE
CLIENTE556,TRUE
CLIENTE557,TRUE
CLIENTE558,TRUE
CLIENTE559,TRUE
CLIENTE560,TRUE
CLIENTE561,TRUE
CLIENTE562,TRUE
CLIENTE563,TRUE
CLIENTE564,TRUE
CLIENTE565,TRUE
CLIENTE566,TRUE
CLIENTE567,TRUE
CLIENTE568,TRUE
CLIENTE569,TRUE
CLIENTE570,TRUE
CLIENTE571,TRUE
CLIENTE572,TRUE
CLIENTE573,TRUE
CLIENTE574,TRUE
CLIENTE575,TRUE
CLIENTE576,TRUE
CLIENTE577,TRUE
CLIENTE578,TRUE
CLIENTE579,TRUE
CLIENTE580,TRUE
CLIENTE581,TRUE
CLIENTE582,TRUE
CLIENTE583,TRUE
CLIENTE584,TRUE
CLIENTE585,TRUE
CLIENTE586,TRUE
CLIENTE587,TRUE
CLIENTE588,TRUE
CLIENTE589,TRUE
CLIENTE590,TRUE
CLIENTE591,TRUE
CLIENTE592,TRUE
CLIENTE593,TRUE
CLIENTE594,TRUE
CLIENTE595,TRUE
CLIENTE596,TRUE
CLIENTE597,TRUE
CLIENTE598,TRUE
CLIENTE599,TRUE
CLIENTE600,TRUE
CLIENTE601,TRUE
CLIENTE602,TRUE
CLIENTE603,TRUE
CLIENTE604,TRUE
CLIENTE605,TRUE
CLIENTE606,TRUE
CLIENTE607,TRUE
CLIENTE608,TRUE
CLIENTE609,TRUE
CLIENTE610,TRUE
CLIENTE611,TRUE
CLIENTE612,TRUE
CLIENTE613,TRUE
CLIENTE614,TRUE
CLIENTE615,TRUE
CLIENTE616,TRUE
CLIENTE617,TRUE
CLIENTE618,TRUE
CLIENTE619,TRUE
CLIENTE620,TRUE
CLIENTE621,TRUE
CLIENTE622,TRUE
CLIENTE623,TRUE
CLIENTE624,TRUE
CLIENTE625,TRUE
CLIENTE626,TRUE
CLIENTE627,TRUE
CLIENTE628,TRUE
CLIENTE629,TRUE
CLIENTE630,TRUE
CLIENTE631,TRUE
CLIENTE632,TRUE
CLIENTE633,TRUE
CLIENTE634,TRUE
CLIENTE635,TRUE
CLIENTE636,TRUE
CLIENTE637,TRUE
CLIENTE638,TRUE
CLIENTE639,TRUE
CLIENTE640,TRUE
CLIENTE641,TRUE
CLIENTE642,TRUE
CLIENTE643,TRUE
CLIENTE644,TRUE
CLIENTE645,TRUE
CLIENTE646,TRUE
CLIENTE647,TRUE
CLIENTE648,TRUE
CLIENTE649,TRUE
CLIENTE650,TRUE
CLIENTE651,TRUE
CLIENTE652,TRUE
CLIENTE653,TRUE
CLIENTE654,TRUE
CLIENTE655,TRUE
CLIENTE656,TRUE
CLIENTE657,TRUE
CLIENTE658,TRUE
CLIENTE659,TRUE
CLIENTE660,TRUE
CLIENTE661,TRUE
CLIENTE662,TRUE
CLIENTE663,TRUE
CLIENTE664,TRUE
CLIENTE665,TRUE
CLIENTE666,TRUE
CLIENTE667,TRUE
CLIENTE668,TRUE
CLIENTE669,TRUE
CLIENTE670,TRUE
CLIENTE671,TRUE
CLIENTE672,TRUE
CLIENTE673,TRUE
CLIENTE674,TRUE
CLIENTE675,TRUE
CLIENTE676,TRUE
CLIENTE677,TRUE
CLIENTE678,TRUE
CLIENTE679,TRUE
CLIENTE680,TRUE
CLIENTE681,TRUE
CLIENTE682,TRUE
CLIENTE683,TRUE
CLIENTE684,TRUE
CLIENTE685,TRUE
CLIENTE686,TRUE
CLIENTE687,TRUE
CLIENTE688,TRUE
CLIENTE689,TRUE
CLIENTE690,TRUE
CLIENTE691,TRUE
CLIENTE692,TRUE
CLIENTE693,TRUE
CLIENTE694,TRUE
CLIENTE695,TRUE
CLIENTE696,TRUE
CLIENTE697,TRUE
CLIENTE698,TRUE
CLIENTE699,TRUE
CLIENTE700,TRUE
CLIENTE701,TRUE
CLIENTE702,TRUE
CLIENTE703,TRUE
CLIENTE704,TRUE
CLIENTE705,TRUE
CLIENTE706,TRUE
CLIENTE707,TRUE
CLIENTE708,TRUE
CLIENTE709,TRUE
CLIENTE710,TRUE
CLIENTE711,TRUE
CLIENTE712,TRUE
CLIENTE713,TRUE
