COD_LOCAL,FAMILIA_PRODUTO,LINHA_PRODUTO,QTD_DISPONIVEL
Aracruz,ExcelenteSupremo,V1,9312
Aracruz,LimpoNobre,V1,6320
Aracruz,LimpoSombrio,V1,2266
Aracruz,LimpoObscuro,V1,819
Aracruz,LimpoTenaz,V1,854
Aracruz,ArtificialZero,V1,52
Aracruz,ArtificialUm,V1,1672
Imperatriz,InferiorRaso,V2,"677,464"
Imperatriz,EscuroSereno,V2,"10161,838"
Imperatriz,ExcelenteSupremo,V2,"6960,874"
Imperatriz,ResistenteFirme,V2,"900,25"
Imperatriz,ArtificialZero,V2,"1905,938"
Imperatriz,ArtificialTres,V2,1438
Jacarei,VolumosoAmplo,V3,716
Jacarei,InferiorRaso,V3,1310
Jacarei,MuitoBomPleno,V3,318
Jacarei,ExcelenteSupremo,V3,2530
Jacarei,PuroAustero,V3,2962
Jacarei,ArtificialZero,V3,548
Limeira,BasicoNeutro,V5,1174
Limeira,InferiorRaso,V5,"3079,417"
Limeira,InferiorRaso,V9,24
Limeira,MuitoBomPleno,V5,"6793,613"
Limeira,AlteradoReverso,V5,70
Limeira,ArtificialZero,V5,"1920,788"
Limeira,SaturadoProfundo,V6,"189,94"
Azkaban,VolumosoAmplo,V3,1
Azkaban,VolumosoRobusto,V2,2
Azkaban,OpacoManso,V1,"139,983"
Azkaban,InferiorRaso,V1,0
Azkaban,InferiorRaso,V2,"300,336"
Azkaban,InferiorRaso,V3,8
Azkaban,PraticoLeve,V1,4
Azkaban,MuitoBomPleno,V1,0
Azkaban,MuitoBomPleno,V3,1104
Azkaban,MuitoBomPleno,V16,5872
Azkaban,MuitoBomPleno,V12,"7302,76"
Azkaban,MuitoBomPleno,V13,1732
Azkaban,MuitoBomPleno,V15,12
Azkaban,MuitoBomLimitado,V2,"10,002"
Azkaban,MuitoClaroLuminoso,V1,1230
Azkaban,NeutroSuave,V13,28
Azkaban,EscuroSereno,V2,"23039,439"
Azkaban,ExcelenteSupremo,V2,"14496,289"
Azkaban,ExcelenteSupremo,V3,8
Azkaban,ExcelenteSupremo,V8,0
Azkaban,ExcelenteSupremo,V13,2
Azkaban,ExcelenteRestrito,V2,10
Azkaban,DiscretoCalmo,V12,"10275,319"
Azkaban,ResistenteFirme,V2,"9395,487"
Azkaban,PuroAustero,V3,4518
Azkaban,LimpoSombrio,V1,36
Azkaban,LimpoTenaz,V1,2
Azkaban,ArtificialZero,V2,3712
Azkaban,ArtificialZero,V12,1004
Azkaban,ArtificialTres,V2,3488
Azkaban,ArtificialCinco,V16,12
Mucuri,InferiorRaso,V1,64
Mucuri,InferiorRaso,V7,54
Mucuri,InferiorRaso,V8,"1782,953"
Mucuri,SuaveTerno,V7,74
Mucuri,SuaveTerno,V8,366
Mucuri,MuitoBomPleno,V7,1846
Mucuri,MuitoBomPleno,V8,2124
Mucuri,AlternativoBeta,V1,"17,538"
Mucuri,ExcelenteSupremo,V7,1202
Mucuri,ExcelenteSupremo,V8,328
Mucuri,ImpuroMarcado,V8,186
Mucuri,IncomumSutil,V8,572
Mucuri,ArtificialZero,V7,242
Mucuri,ArtificialZero,V8,96
Ribas,InferiorRaso,V16,488
Ribas,SuaveTerno,V16,314
Ribas,MuitoBomPleno,V16,4012
Ribas,ExcelenteSupremo,V16,4022
Ribas,ArtificialCinco,V16,136
Suzano,InferiorRaso,V9,"134,81"
Suzano,MuitoBomPleno,V5,78
Suzano,MuitoBomIntenso,V9,"2475,2"
Suzano,ImpuroVibrante,V9,"25,6"
Suzano,ExcelenteSupremo,V3,82
Suzano,ComumLiso,V10,"0,15"
TresLagoas,InferiorRaso,V12,312
TresLagoas,InferiorRaso,V13,476
TresLagoas,MuitoBomPleno,V12,15286
TresLagoas,MuitoBomPleno,V13,9694
TresLagoas,NeutroSuave,V13,178
TresLagoas,ExcelenteSupremo,V12,580
TresLagoas,ExcelenteSupremo,V13,530
TresLagoas,DiscretoCalmo,V12,1042
TresLagoas,ArtificialZero,V12,292
TresLagoas,ArtificialTres,V13,20
TresLagoas,ArtificialSigma,V13,184
Galdrin,MuitoBomPleno,V16,1708
Glenhaven,ImpuroVibrante,V9,"316,8"
Promethea,MuitoBomPleno,V7,0
Promethea,MuitoBomPleno,V15,2980
Inoria,InferiorRaso,V16,728
Inoria,MuitoBomPleno,V16,11216
Inoria,ExcelenteSupremo,V16,5720
Inoria,ArtificialCinco,V16,780
Itaqui,EscuroSereno,V2,1090
Itaqui,ExcelenteSupremo,V2,26724
Itaqui,ResistenteFirme,V2,2606
Itaqui,ArtificialZero,V2,4
Itaqui,ArtificialTres,V2,7770
Johto,NaturalClaro,V1,1200
Johto,PraticoLeve,V1,28
Johto,MuitoBomPleno,V7,10
Johto,MuitoBomPleno,V8,854
Johto,EscuroCauto,V1,"113,548"
Johto,AlternativoBeta,V1,974
Johto,AlternativoAlpha,V1,"3467,382"
Johto,ExcelenteSupremo,V1,6
Johto,ExcelenteSupremo,V2,20
Johto,ExcelenteSupremo,V8,2110
Johto,LimpoSombrio,V1,"21681,268"
Johto,LimpoTenaz,V1,1372
Ishgard,MuitoBomPleno,V15,20
Ishgard,ExcelenteSupremo,V2,"6966,75"
Ishgard,LimpoSombrio,V1,840
Askr,LimpoNobre,V1,3744
Askr,LimpoSombrio,V1,13272
Askr,LimpoTenaz,V1,2840
Askr,ArtificialUm,V1,4376
Helheim,MuitoBomPleno,V16,1126
Laputa,OpacoManso,V1,"13,25"
Laputa,NaturalClaro,V1,2000
Laputa,MuitoBomPleno,V2,10
Laputa,MuitoBomPleno,V8,830
Laputa,MuitoBomPleno,V16,"1768,001"
Laputa,MuitoBomPleno,V12,"1303,233"
Laputa,MuitoBomPleno,V13,4986
Laputa,ExcelenteSupremo,V2,20560
Laputa,ExcelenteSupremo,V3,916
Laputa,DiscretoCalmo,V12,"3043,225"
Laputa,ResistenteFirme,V2,3320
Laputa,PuroAustero,V3,2588
Laputa,ArtificialZero,V2,24
Laputa,ArtificialZero,V12,6
Laputa,ArtificialTres,V13,2000
Laputa,ArtificialCinco,V16,0
Liones,OpacoManso,V1,2
Liones,InferiorRaso,V3,628
Liones,MuitoBomPleno,V16,4592
Liones,MuitoBomPleno,V12,"3750,677"
Liones,MuitoBomPleno,V13,0
Liones,MuitoBomPleno,V15,"8208,651"
Liones,NeutroSuave,V13,2806
Liones,EscuroSereno,V2,"2695,159"
Liones,AlternativoBeta,V1,0
Liones,ExcelenteSupremo,V1,332
Liones,ExcelenteSupremo,V2,"9210,22"
Liones,ExcelenteSupremo,V3,10
Liones,ExcelenteRestrito,V2,0
Liones,ResistenteFirme,V2,"7697,346"
Liones,PuroAustero,V3,3920
Liones,ArtificialZero,V2,0
Liones,ArtificialTres,V2,48
Liones,ArtificialCinco,V16,0
Besaid,NaturalClaro,V1,1942
Besaid,PraticoLeve,V1,2
Besaid,MuitoBomPleno,V8,2464
Besaid,EscuroSereno,V2,640
Besaid,EscuroCauto,V1,0
Besaid,AtivoVigoroso,V1,722
Besaid,AlternativoBeta,V1,"14269,87"
Besaid,AlternativoAlpha,V1,130
Besaid,ExcelenteSupremo,V2,4596
Besaid,ExcelenteSupremo,V8,478
Besaid,ResistenteFirme,V2,400
Besaid,LimpoSombrio,V1,"5564,013"
Besaid,LimpoTenaz,V1,8
Besaid,ArtificialZero,V1,0
Besaid,ArtificialUm,V1,0
Besaid,ArtificialTres,V2,100
Prontera,PraticoLeve,V1,300
Prontera,MuitoBomPleno,V1,16
Prontera,MuitoBomPleno,V3,6
Prontera,MuitoBomPleno,V16,246
Prontera,MuitoBomPleno,V12,"3844,493"
Prontera,MuitoBomPleno,V13,0
Prontera,MuitoBomPleno,V15,"1844,977"
Prontera,NeutroSuave,V13,6
Prontera,ExcelenteSupremo,V1,8
Prontera,PuroAustero,V3,28
Prontera,ArtificialCinco,V16,0
Seireitei,LimpoNobre,V1,12116
Nibelheim,PraticoLeve,V1,200
Nibelheim,MuitoBomPleno,V16,"1080,001"
Nibelheim,MuitoBomPleno,V12,594
Nenaris,NaturalClaro,V1,600
Nenaris,AtivoVigoroso,V1,100
Nenaris,ExcelenteSupremo,V2,540
Noctis,AlternativoBeta,V1,"114,5"
Noctis,ExcelenteSupremo,V2,"35,75"
Nassauia,MuitoBomPleno,V8,360
Nassauia,LimpoTenaz,V1,1318
Nassauia,ArtificialUm,V1,0
Pandora,ExcelenteSupremo,V2,13826
Walden,MuitoBomPleno,V7,0
Walden,MuitoBomPleno,V8,8
Walden,EscuroCauto,V1,0
Walden,AlternativoBeta,V1,"542,353"
Walden,AlternativoAlpha,V1,70
Walden,ExcelenteSupremo,V8,8
Walden,LimpoSombrio,V1,"2067,806"
Namek,MuitoBomPleno,V16,0
Philgaia,InferiorRaso,V1,2180
Philgaia,MuitoBomPleno,V1,128
Philgaia,MuitoBomPleno,V7,102
Philgaia,MuitoBomPleno,V8,2684
Philgaia,MuitoBomPleno,V15,750
Philgaia,MuitoBomIntenso,V9,"25,6"
Philgaia,EscuroCauto,V1,0
Philgaia,AlternativoBeta,V1,5380
Philgaia,AlternativoAlpha,V1,"2663,61"
Philgaia,ExcelenteSupremo,V2,0
Philgaia,ImpuroMarcado,V8,458
Philgaia,LimpoSombrio,V1,"15549,945"
Philgaia,ArtificialUm,V1,25
Portocel,VolumosoAmplo,V15,20540
Portocel,NaturalClaro,V1,1720
Portocel,SuaveTerno,V7,4
Portocel,SuaveTerno,V8,8
Portocel,MuitoBomPleno,V1,156
Portocel,MuitoBomPleno,V7,486
Portocel,MuitoBomPleno,V8,1702
Portocel,MuitoBomPleno,V15,33643
Portocel,MuitoBomIntenso,V9,"11,2"
Portocel,MuitoEscuroDenso,V8,0
Portocel,AlternativoBeta,V1,5128
Portocel,ExcelenteSupremo,V1,12
Portocel,ExcelenteSupremo,V7,18
Portocel,ExcelenteSupremo,V8,5338
Portocel,ImpuroMarcado,V8,10
Portocel,LimpoNobre,V1,76
Portocel,LimpoSombrio,V1,23460
Portocel,LimpoTenaz,V1,0
Portocel,ArtificialZero,V1,2
Portocel,ArtificialZero,V8,10
Portocel,ArtificialUm,V1,20
Paldea,MuitoBomPleno,V16,1492
Paldea,ExcelenteSupremo,V2,1420
Tahlenwald,InferiorRaso,V1,614
Tahlenwald,NaturalClaro,V1,968
Tahlenwald,MuitoBomPleno,V1,790
Tahlenwald,MuitoBomPleno,V16,1212
Tahlenwald,ArtificialCinco,V16,0
Savois,OpacoManso,V1,846
Savois,MuitoBomPleno,V16,1500
Savois,MuitoBomPleno,V12,"8558,056"
Savois,MuitoBomPleno,V13,2432
Savois,EscuroSereno,V2,5310
Savois,ExcelenteSupremo,V2,232
Savois,PuroAustero,V3,512
Sableport,MuitoBomPleno,V5,532
Sableport,MuitoBomIntenso,V9,1384
Sableport,ImpuroVibrante,V9,"230,4"
Sableport,ArtificialZero,V5,364
Shadowpeak,VolumosoAmplo,V3,2494
Shadowpeak,InferiorRaso,V3,10
Shadowpeak,InferiorRaso,V12,2
Shadowpeak,InferiorRaso,V13,2
Shadowpeak,MuitoBomPleno,V3,6160
Shadowpeak,MuitoBomPleno,V5,1498
Shadowpeak,MuitoBomPleno,V16,36838
Shadowpeak,MuitoBomPleno,V12,1170
Shadowpeak,MuitoBomPleno,V13,27766
Shadowpeak,MuitoBomIntenso,V9,"3,2"
Shadowpeak,NeutroSuave,V13,60
Shadowpeak,ExcelenteSupremo,V3,5750
Shadowpeak,ExcelenteSupremo,V16,20
Shadowpeak,ExcelenteSupremo,V12,70
Shadowpeak,ExcelenteSupremo,V13,2236
Shadowpeak,DiscretoCalmo,V12,420
Shadowpeak,PuroAustero,V3,2134
Shadowpeak,ArtificialZero,V5,2
Shadowpeak,ArtificialZero,V12,2952
Shadowpeak,ArtificialTres,V13,36
Shadowpeak,ArtificialCinco,V16,64
Shadowpeak,ArtificialSigma,V13,140
Konoha,MuitoBomPleno,V5,586
Konoha,MuitoBomIntenso,V9,"355,2"
Konoha,ExcelenteSupremo,V13,2
Konoha,LimpoSombrio,V1,2218
Konoha,ArtificialCinco,V16,296
Solstheim,MuitoBomPleno,V8,554
Solstheim,AlternativoBeta,V1,240
Solstheim,ExcelenteSupremo,V2,0
Solstheim,LimpoSombrio,V1,0
Sectorium,InferiorRaso,V16,4
Sectorium,SuaveTerno,V16,8
Sectorium,MuitoBomPleno,V16,8282
Sectorium,MuitoBomPleno,V12,78
Sectorium,MuitoBomPleno,V13,512
Sectorium,ExcelenteSupremo,V16,146
Sectorium,ExcelenteSupremo,V12,78
Stormbar,MuitoBomPleno,V5,2984
Stormbar,MuitoBomPleno,V12,"0,051"
Stormbar,MuitoBomIntenso,V9,"460,8"
Stormbar,AlteradoReverso,V5,548
Stevanor,NaturalClaro,V1,430
Stevanor,ExcelenteSupremo,V2,180
Tartarus,MuitoBomPleno,V2,0
Tartarus,MuitoBomPleno,V16,12
Tartarus,MuitoBomPleno,V13,3614
Tartarus,MuitoBomPleno,V15,1782
Tartarus,EscuroSereno,V2,1200
Tartarus,ExcelenteSupremo,V2,"24849,774"
Tartarus,ExcelenteSupremo,V13,0
Tartarus,ExcelenteRestrito,V2,2
Tartarus,DiscretoCalmo,V12,250
Tartarus,ResistenteFirme,V2,622
Tartarus,PuroAustero,V3,0
Tartarus,ArtificialZero,V2,2142
Tartarus,ArtificialZero,V12,404
Tartarus,ArtificialTres,V2,300
Marineford,MuitoBomPleno,V16,500
Winhill,MuitoBomPleno,V1,40
Winhill,MuitoBomPleno,V8,70
Winhill,MuitoBomPleno,V15,20
Winhill,MuitoBomIntenso,V9,"3,4"
Winhill,AlternativoAlpha,V1,"0,75"
Winhill,ExcelenteSupremo,V2,"5878,375"
Winhill,ExcelenteRestrito,V2,"37,25"
Winhill,ResistenteFirme,V2,1434
Winhill,LimpoSombrio,V1,2
Winhill,ArtificialZero,V2,0
Winhill,ArtificialTres,V2,7740
Zuldazar,NaturalClaro,V1,0
Zuldazar,MuitoBomPleno,V16,2
