COD_CLIENTE,COD_LOCAL,CUSTO_INLAND_POR_TON
CLIENTE568,Lochbar,"0,2536816805"
CLIENTE181,Perseon,"0,2538094313"
CLIENTE454,Philgaia,"0,2546584863"
CLIENTE320,Eredin,"0,2555546342"
CLIENTE462,Yeygard,"0,2555675916"
CLIENTE513,Valyria,"0,2558047609"
CLIENTE452,Brakmar,"0,2563471165"
CLIENTE218,Namek,"0,2564606714"
CLIENTE472,Bethlehem,"0,2569088626"
CLIENTE538,Rocabar,"0,2576689747"
CLIENTE261,Memphos,"0,2576920909"
CLIENTE227,Nassauia,"0,2585963905"
CLIENTE550,Lochbar,"0,2595205363"
CLIENTE703,Ironfall,"0,2599759271"
CLIENTE475,Klunheim,"0,2601302914"
CLIENTE545,Tuxara,"0,2601383144"
CLIENTE448,Nyagara,"0,2611571917"
CLIENTE509,Greywatch,"0,2613464773"
CLIENTE673,Hogwarts,"0,2622888294"
CLIENTE400,Koktahl,"0,2623282264"
CLIENTE235,Eredin,"0,2626126074"
CLIENTE54,Yokara,"0,2631916977"
CLIENTE495,Tuxara,"0,2640216728"
CLIENTE553,Ngorim,"0,2643896419"
CLIENTE62,Nibelheim,"0,2644920503"
CLIENTE239,Solstheim,"0,2649751912"
CLIENTE255,Hazoria,"0,2651300616"
CLIENTE217,Surakai,"0,2651990076"
CLIENTE45,Winhill,"0,2654372089"
CLIENTE300,Mondstadt,"0,2667871648"
CLIENTE74,Askr,"0,2669651334"
CLIENTE258,Osaria,"0,2670308519"
CLIENTE252,Deepwater,"0,2673634727"
CLIENTE588,Ulthar,"0,268485148"
CLIENTE508,Sectorium,"0,2684992546"
CLIENTE540,Glenhaven,"0,2686405701"
CLIENTE133,Skellige,"0,2689535938"
CLIENTE117,Morrowind,"0,2697859964"
CLIENTE278,Targalon,"0,2699966835"
CLIENTE594,Tuxara,"0,2706759933"
CLIENTE593,Mondstadt,"0,2707418404"
CLIENTE579,Brightfall,"0,2713517296"
CLIENTE344,Elysor,"0,2714856632"
CLIENTE171,Swindale,"0,2715342186"
CLIENTE652,Shadowpeak,"0,2720575656"
CLIENTE562,Resembool,"0,2733398329"
CLIENTE367,Melvara,"0,2741132052"
CLIENTE259,Johto,"0,2741482592"
CLIENTE478,Kakariko,"0,2742093069"
CLIENTE646,Xinthar,"0,2742683853"
CLIENTE664,Yenfall,"0,2746284395"
CLIENTE572,Kragspire,"0,2746637121"
CLIENTE491,Chenara,"0,2749628565"
CLIENTE85,Windscar,"0,2751806792"
CLIENTE229,Thalassar,"0,2753476424"
CLIENTE288,Stormhold,"0,275772017"
CLIENTE305,Northfall,"0,2758130889"
CLIENTE337,Jakura,"0,2758726759"
CLIENTE97,Salvaris,"0,276380094"
CLIENTE521,Ashkora,"0,2768996687"
CLIENTE246,Jakura,"0,277418512"
CLIENTE554,Nosgoth,"0,2777334324"
CLIENTE73,Morrowind,"0,2781508002"
CLIENTE386,Northfall,"0,2786433159"
CLIENTE24,Limoria,"0,279054411"
CLIENTE678,Manifold,"0,2795796875"
CLIENTE320,Kobaris,"0,280278706"
CLIENTE540,Stevanor,"0,2815317492"
CLIENTE686,Brightfall,"0,2821106091"
CLIENTE339,Gerudo,"0,2825834699"
CLIENTE42,Surakai,"0,2826642154"
CLIENTE25,Dornfall,"0,2827515296"
CLIENTE63,Windscar,"0,2831585957"
CLIENTE256,Grimvale,"0,2837252518"
CLIENTE585,Pangara,"0,2839769279"
CLIENTE343,Ulthar,"0,2846276639"
CLIENTE175,Hollowmar,"0,2848918873"
CLIENTE696,Lochbar,"0,285058911"
CLIENTE468,Sectorium,"0,2850899074"
CLIENTE689,Highspire,"0,2855087243"
CLIENTE128,Windscar,"0,2856108762"
CLIENTE694,Chenara,"0,285714995"
CLIENTE243,Stormbar,"0,2858450383"
CLIENTE652,Galdrin,"0,2863422194"
CLIENTE14,Valyria,"0,2866343653"
CLIENTE114,Pandora,"0,2867709563"
CLIENTE242,Duskwall,"0,2871256888"
CLIENTE216,Solstheim,"0,2872410883"
CLIENTE460,Melvara,"0,2876212325"
CLIENTE334,Solstheim,"0,2876680185"
CLIENTE270,Besaid,"0,2878190278"
CLIENTE40,Memphos,"0,2879337243"
CLIENTE652,Raumor,"0,2884558892"
CLIENTE109,Targalon,"0,2884699049"
CLIENTE9,Calcara,"0,2887444549"
CLIENTE152,Ngorim,"0,2889101873"
CLIENTE296,Tchurion,"0,2893378587"
CLIENTE280,Duskwall,"0,2895595994"
CLIENTE572,Manshade,"0,2900022293"
CLIENTE399,Tchurion,"0,2900656648"
CLIENTE602,Memphos,"0,2912255016"
CLIENTE710,Tahlenwald,"0,2913200587"
CLIENTE135,Johto,"0,2922863243"
CLIENTE47,Hazoria,"0,2924165917"
CLIENTE379,Sidora,"0,2925305731"
CLIENTE45,Swindale,"0,2926214578"
CLIENTE122,Gerudo,"0,2928164185"
CLIENTE171,Prontera,"0,2939497613"
CLIENTE309,Muskara,"0,294064331"
CLIENTE645,Kobaris,"0,2943940153"
CLIENTE391,Deliora,"0,2946269793"
CLIENTE709,Viscara,"0,2947176344"
CLIENTE184,Memphos,"0,2950716602"
CLIENTE560,Tartarus,"0,2951411808"
CLIENTE110,Zanarkand,"0,2959252401"
CLIENTE258,Ashkora,"0,2960442426"
CLIENTE585,Ykoura,"0,2966289015"
CLIENTE259,Valisthea,"0,29763587"
CLIENTE608,Solhara,"0,2976980563"
CLIENTE533,Besaid,"0,2977905888"
CLIENTE707,Resembool,"0,2981646286"
CLIENTE676,Tomarath,"0,2981732847"
CLIENTE536,Ulthar,"0,2982497545"
CLIENTE370,Mondstadt,"0,2986314631"
CLIENTE591,Azkaban,"0,2988511974"
CLIENTE581,Solhara,"0,2989607741"
CLIENTE109,Perseon,"0,2990468784"
CLIENTE402,Paldea,"0,2990727622"
CLIENTE338,Hazoria,"0,2991226764"
CLIENTE46,Sunreach,"0,2993596426"
CLIENTE367,Hollowmar,"0,2994529207"
CLIENTE62,Rivenspire,"0,299458281"
CLIENTE486,Fernwall,"0,2994881146"
CLIENTE354,Lothlorien,"0,2999405597"
CLIENTE303,Dirtmouth,"0,3007012488"
CLIENTE82,Muskara,"0,3019779277"
CLIENTE83,Shadowpeak,"0,3026637156"
CLIENTE274,Iyomar,"0,3028380629"
CLIENTE424,Hollowmar,"0,3028570258"
CLIENTE613,Mountglass,"0,3031737927"
CLIENTE672,Resembool,"0,3032596664"
CLIENTE658,Mythra,"0,3039465571"
CLIENTE241,Skellige,"0,3040938225"
CLIENTE549,Grimvale,"0,3042501385"
CLIENTE296,Targalon,"0,304323644"
CLIENTE501,Lothlorien,"0,3045491292"
CLIENTE176,TwinPillars,"0,3051836634"
CLIENTE685,Amoneth,"0,305420212"
CLIENTE434,Noctis,"0,3061788582"
CLIENTE500,Jindara,"0,3062200567"
CLIENTE121,Iskeld,"0,3065319929"
CLIENTE588,Tuxara,"0,3067643559"
CLIENTE356,Yatora,"0,3082790049"
CLIENTE11,Midgar,"0,3086771313"
CLIENTE400,Azural,"0,3088851292"
CLIENTE541,Mountglass,"0,3091426859"
CLIENTE446,Prontera,"0,3093135658"
CLIENTE98,Surakai,"0,3093327102"
CLIENTE10,Nenaris,"0,3095676101"
CLIENTE30,Piscara,"0,3097281462"
CLIENTE206,Yokara,"0,3099740785"
CLIENTE84,Perseon,"0,3100401063"
CLIENTE360,Limoria,"0,3100777994"
CLIENTE640,Philgaia,"0,310110699"
CLIENTE411,Fernwall,"0,3103485515"
CLIENTE417,Marineford,"0,3104368293"
CLIENTE86,Lochbar,"0,3110169305"
CLIENTE542,Azural,"0,3118933469"
CLIENTE232,Deeptrench,"0,3119798611"
CLIENTE535,Mythra,"0,3120834115"
CLIENTE569,Lochbar,"0,3121521744"
CLIENTE493,Thalassar,"0,3126029625"
CLIENTE602,Pangara,"0,3128159095"
CLIENTE305,Marineford,"0,3128745391"
CLIENTE216,Raumor,"0,3131270241"
CLIENTE290,Galdrin,"0,313301297"
CLIENTE598,Tuxara,"0,3138062117"
CLIENTE45,Kobaris,"0,3138226181"
CLIENTE348,Skyreach,"0,3138577952"
CLIENTE617,Yeygard,"0,3141605717"
CLIENTE128,Hollowmar,"0,3142775728"
CLIENTE677,Calcara,"0,3143665925"
CLIENTE290,Glenhaven,"0,3144461243"
CLIENTE332,Thalassar,"0,314583447"
CLIENTE353,Fernwall,"0,3147146095"
CLIENTE501,Lochbar,"0,3149824158"
CLIENTE226,Yeygard,"0,3149877535"
CLIENTE471,Grimvale,"0,3150262616"
CLIENTE461,Galdrin,"0,3150919479"
CLIENTE701,Memphos,"0,3151008245"
CLIENTE161,Morrowind,"0,3153779946"
CLIENTE482,Lathen,"0,315548422"
CLIENTE497,Prontera,"0,3159121809"
CLIENTE406,Vancross,"0,3160487207"
CLIENTE349,Koktahl,"0,3161820227"
CLIENTE504,Jakura,"0,316474932"
CLIENTE349,Imre,"0,3165101628"
CLIENTE342,Ironfall,"0,3167625355"
CLIENTE401,Bethlehem,"0,3174997886"
CLIENTE206,Paldea,"0,3175981587"
CLIENTE462,Tempestia,"0,317668545"
CLIENTE51,Hollowmar,"0,318389234"
CLIENTE427,Stormbar,"0,3188501298"
CLIENTE81,Amoneth,"0,3189358092"
CLIENTE631,Ashkora,"0,3189440083"
CLIENTE3,Skellige,"0,3189821543"
CLIENTE321,Tomarath,"0,3190712534"
CLIENTE295,Windscar,"0,31914031"
CLIENTE202,Iyomar,"0,3193395354"
CLIENTE418,Deepwater,"0,3195710487"
CLIENTE346,Stormbar,"0,3197162852"
CLIENTE40,Brakmar,"0,3198711777"
CLIENTE593,Valyria,"0,3200952983"
CLIENTE553,Deepwater,"0,3204138762"
CLIENTE127,Iskeld,"0,3205525538"
CLIENTE469,Perseon,"0,3206270506"
CLIENTE185,Ranskar,"0,3208354228"
CLIENTE649,Klunheim,"0,3210613975"
CLIENTE323,Jindara,"0,3212907533"
CLIENTE648,Ngorim,"0,3213267534"
CLIENTE253,Chenara,"0,3215175772"
CLIENTE654,Stormhold,"0,3216693211"
CLIENTE528,Stormbar,"0,3220364424"
CLIENTE319,Ivalice,"0,3225489678"
CLIENTE363,Amoneth,"0,3225639003"
CLIENTE360,Tchurion,"0,3231075537"
CLIENTE694,Dirtmouth,"0,3233728501"
CLIENTE495,Ossandor,"0,323459804"
CLIENTE326,Windscar,"0,3237485689"
CLIENTE475,Deliora,"0,3241107734"
CLIENTE484,Marineford,"0,324304861"
CLIENTE227,Brakmar,"0,3254520197"
CLIENTE176,Inoria,"0,3256069103"
CLIENTE450,Quasmar,"0,325628762"
CLIENTE531,Seireitei,"0,3258011159"
CLIENTE263,Jindara,"0,3263098923"
CLIENTE585,Ossandor,"0,3264480242"
CLIENTE542,Chenara,"0,3265809888"
CLIENTE220,Dornfall,"0,3269880419"
CLIENTE116,Nyagara,"0,3270211242"
CLIENTE308,Perseon,"0,3272606465"
CLIENTE322,Ngorim,"0,3277114412"
CLIENTE285,Marineford,"0,3280303477"
CLIENTE240,Rocabar,"0,3280455102"
CLIENTE687,Riorin,"0,3281009052"
CLIENTE440,Northfall,"0,3283889369"
CLIENTE661,Elzion,"0,3287533467"
CLIENTE230,Winhill,"0,3287901916"
CLIENTE608,Stonegate,"0,3288992187"
CLIENTE357,TwinPillars,"0,3290625252"
CLIENTE395,Stormhold,"0,3293149636"
CLIENTE123,Deeptrench,"0,329558886"
CLIENTE491,Khengar,"0,3295759678"
CLIENTE622,Thalassar,"0,3299167063"
CLIENTE180,Ranskar,"0,3302304625"
CLIENTE386,Tempestia,"0,3304008577"
CLIENTE97,Marineford,"0,3305007795"
CLIENTE285,Morrowind,"0,3305438076"
CLIENTE631,Pangara,"0,3306036471"
CLIENTE439,Hogwarts,"0,3306858477"
CLIENTE526,Qineth,"0,3307920836"
CLIENTE668,Bethlehem,"0,3310700155"
CLIENTE24,Nighthaven,"0,3311847162"
CLIENTE48,Jindara,"0,3313118795"
CLIENTE469,Northfall,"0,3314140329"
CLIENTE235,Manshade,"0,331513179"
CLIENTE187,Qineth,"0,3319245969"
CLIENTE40,Qineth,"0,3319940562"
CLIENTE543,Pillarreach,"0,3319975865"
CLIENTE569,Zuldazar,"0,3320645041"
CLIENTE521,Tomarath,"0,3324663742"
CLIENTE519,Tahlenwald,"0,332575545"
CLIENTE409,Tarbean,"0,3328024858"
CLIENTE629,Stormhold,"0,3330436158"
CLIENTE27,Koktahl,"0,3332235288"
CLIENTE678,Nyagara,"0,333662309"
CLIENTE487,Spira,"0,333964167"
CLIENTE672,Nighthaven,"0,3343100028"
CLIENTE380,Tarbean,"0,334316069"
CLIENTE520,Zaphura,"0,3344473562"
CLIENTE275,Kandor,"0,334639079"
CLIENTE490,Sethera,"0,3348088421"
CLIENTE489,Pillarreach,"0,3348785756"
CLIENTE523,Viscara,"0,3349094514"
CLIENTE32,Laputa,"0,3349811028"
CLIENTE42,Pausen,"0,3351900291"
CLIENTE475,Tartarus,"0,3352475163"
CLIENTE189,Kandor,"0,3356638602"
CLIENTE117,Besaid,"0,3358523731"
CLIENTE319,Tuxara,"0,3359436006"
CLIENTE226,Ulthar,"0,3360731382"
CLIENTE555,Vancross,"0,3362486186"
CLIENTE251,Laputa,"0,3362534406"
CLIENTE318,Ossandor,"0,3364382285"
CLIENTE639,Hollowmar,"0,3364496178"
CLIENTE487,Ranskar,"0,3366399849"
CLIENTE370,Tahlenwald,"0,3367319236"
CLIENTE316,Resembool,"0,3368129761"
CLIENTE557,Laputa,"0,3369677022"
CLIENTE275,Stonegate,"0,3375110418"
CLIENTE368,Azural,"0,3377854213"
CLIENTE519,Aeusserst,"0,3380213265"
CLIENTE578,Kakariko,"0,3381326363"
CLIENTE96,Klunheim,"0,3382230127"
CLIENTE567,Mountglass,"0,3385504389"
CLIENTE579,Kandor,"0,3388853815"
CLIENTE379,Seireitei,"0,3390301881"
CLIENTE17,Morrowind,"0,339068471"
CLIENTE15,Sableport,"0,3392386013"
CLIENTE175,Termina,"0,3395595425"
CLIENTE355,Xinthar,"0,3396853575"
CLIENTE317,Zaphura,"0,3397557931"
CLIENTE539,Manifold,"0,3398184222"
CLIENTE309,Calcara,"0,3399271428"
CLIENTE268,Solstheim,"0,3400012777"
CLIENTE578,Highspire,"0,3401012393"
CLIENTE220,Yenfall,"0,3402290673"
CLIENTE557,Elzion,"0,3403746916"
CLIENTE575,Lochbar,"0,3403799334"
CLIENTE269,Sectorium,"0,3403893307"
CLIENTE257,Frosthelm,"0,3404565089"
CLIENTE487,Sidora,"0,3406392643"
CLIENTE640,Bethlehem,"0,340761792"
CLIENTE221,Skellige,"0,3409447548"
CLIENTE337,Osaria,"0,3412141977"
CLIENTE499,Swindale,"0,3413044246"
CLIENTE667,Viscara,"0,3414153235"
CLIENTE29,Casperia,"0,3414383327"
CLIENTE223,Yatora,"0,3415498917"
CLIENTE32,Casperia,"0,3419870457"
CLIENTE65,Sunreach,"0,3422422243"
CLIENTE359,Bethlehem,"0,3422577749"
CLIENTE416,Laputa,"0,3423242826"
CLIENTE206,Johto,"0,3426821456"
CLIENTE276,Promethea,"0,3427146184"
CLIENTE322,Casperia,"0,3427644008"
CLIENTE609,Pandora,"0,3429499019"
CLIENTE639,Jakura,"0,3429638955"
CLIENTE670,Pandora,"0,342967245"
CLIENTE377,Yjigar,"0,3429902574"
CLIENTE176,Osaria,"0,3434320679"
CLIENTE409,Deliora,"0,3434655458"
CLIENTE97,Pausen,"0,3437352777"
CLIENTE426,Imre,"0,3437540067"
CLIENTE43,Cartheia,"0,3438327176"
CLIENTE106,Mountglass,"0,3439038455"
CLIENTE656,Zaphura,"0,3440018877"
CLIENTE692,Iyomar,"0,3447430739"
CLIENTE575,Zuldazar,"0,3451376952"
CLIENTE160,Shadowpeak,"0,3452938914"
CLIENTE318,Pangara,"0,3456377076"
CLIENTE298,Grimvale,"0,3457687646"
CLIENTE272,Kandor,"0,3461145627"
CLIENTE499,Kragspire,"0,3461588311"
CLIENTE382,Qineth,"0,3464684051"
CLIENTE319,Nighthaven,"0,3464726688"
CLIENTE260,Yjigar,"0,3466632161"
CLIENTE630,Hogwarts,"0,3467915428"
CLIENTE232,Azural,"0,3468021123"
CLIENTE542,Spira,"0,3468513423"
CLIENTE491,Sunreach,"0,3468780616"
CLIENTE312,Rlyeh,"0,3469284293"
CLIENTE109,Kobaris,"0,3472283833"
CLIENTE8,Kragspire,"0,3474391406"
CLIENTE628,Calcara,"0,3476623849"
CLIENTE171,Muskara,"0,3478530817"
CLIENTE596,Yenfall,"0,3479238086"
CLIENTE277,Ossandor,"0,347934086"
CLIENTE212,Seireitei,"0,3480114266"
CLIENTE159,Tchurion,"0,348114441"
CLIENTE187,Cairhien,"0,34829458"
CLIENTE47,Askr,"0,3485421808"
CLIENTE292,Yatora,"0,3486316385"
CLIENTE411,Stonegate,"0,3490502684"
CLIENTE708,Drinmoor,"0,3492924941"
CLIENTE663,Surakai,"0,3494639858"
CLIENTE478,Lyngard,"0,3496291096"
CLIENTE617,Nighthaven,"0,3497211039"
CLIENTE106,Tomarath,"0,3498272489"
CLIENTE137,Sidora,"0,3503914951"
CLIENTE649,Melvara,"0,3505644078"
CLIENTE129,Ashkora,"0,3506298658"
CLIENTE518,Ngorim,"0,350834672"
CLIENTE440,Pandora,"0,3509256746"
CLIENTE395,Promethea,"0,3511529458"
CLIENTE676,Winhill,"0,3513257656"
CLIENTE558,Kandor,"0,3513348265"
CLIENTE402,Dragmere,"0,3517683123"
CLIENTE246,Huern,"0,3517970641"
CLIENTE380,Dornfall,"0,3518377333"
CLIENTE236,Raumor,"0,3519069943"
CLIENTE119,Raumor,"0,352383223"
CLIENTE64,Surakai,"0,3524467835"
CLIENTE49,Sectorium,"0,3524562364"
CLIENTE387,Xinthar,"0,3524775293"
CLIENTE139,Tartarus,"0,3526059922"
CLIENTE286,Iskeld,"0,3528253488"
CLIENTE58,Haldryn,"0,3528646998"
CLIENTE37,Cairhien,"0,3533189022"
CLIENTE582,Savois,"0,353435863"
CLIENTE569,Nenaris,"0,3540526151"
CLIENTE597,Salvaris,"0,3540638979"
CLIENTE218,Glenhaven,"0,3541293898"
CLIENTE119,Manifold,"0,3541650892"
CLIENTE446,Yatora,"0,3541966998"
CLIENTE52,Rocabar,"0,354388318"
CLIENTE14,Jakura,"0,3545042526"
CLIENTE632,Ulthar,"0,3548967237"
CLIENTE387,Brightfall,"0,3551281954"
CLIENTE305,Tarbean,"0,3551556894"
CLIENTE49,Ivalice,"0,3553493232"
CLIENTE506,Bethlehem,"0,3558200862"
CLIENTE234,Jakura,"0,3560191296"
CLIENTE660,Ngorim,"0,356049542"
CLIENTE659,Hogwarts,"0,356213972"
CLIENTE411,Hazoria,"0,3564187283"
CLIENTE371,Ngorim,"0,3565861714"
CLIENTE608,Aeusserst,"0,3565975694"
CLIENTE92,Brakmar,"0,3566431951"
CLIENTE372,Noctis,"0,3567229281"
CLIENTE429,Highspire,"0,3568243727"
CLIENTE620,Azkaban,"0,356932571"
CLIENTE681,Deeptrench,"0,3569992631"
CLIENTE44,Mountglass,"0,3570011765"
CLIENTE2,Shadowpeak,"0,357014297"
CLIENTE181,Zanarkand,"0,3573004637"
CLIENTE285,Hollowmar,"0,3573323559"
CLIENTE636,Sectorium,"0,3576216471"
CLIENTE545,Rlyeh,"0,3576817667"
CLIENTE602,Kakariko,"0,3577989198"
CLIENTE634,Greywatch,"0,3580065985"
CLIENTE179,Viscara,"0,358099441"
CLIENTE51,Yokara,"0,3581187259"
CLIENTE280,Hogwarts,"0,3581863608"
CLIENTE254,Nibelheim,"0,3582018492"
CLIENTE509,Dragmere,"0,3582431329"
CLIENTE22,Muskara,"0,3583645718"
CLIENTE220,Marineford,"0,3585269318"
CLIENTE464,Imre,"0,3586575558"
CLIENTE293,Deepwater,"0,359081118"
CLIENTE595,Salvaris,"0,3592748843"
CLIENTE129,Thalassar,"0,3593821376"
CLIENTE276,Casperia,"0,3595163077"
CLIENTE704,Stonegate,"0,3600633508"
CLIENTE580,Yokara,"0,3608365733"
CLIENTE179,Mountglass,"0,3609438953"
CLIENTE111,Eredin,"0,3611460378"
CLIENTE397,Tomarath,"0,3611703274"
CLIENTE705,Ichoris,"0,3618007104"
CLIENTE449,Khengar,"0,3621443283"
CLIENTE434,Qineth,"0,3623643488"
CLIENTE143,Duskwall,"0,3625058291"
CLIENTE620,Mondstadt,"0,362667938"
CLIENTE299,Pandora,"0,3629780805"
CLIENTE616,Tempestia,"0,3631874718"
CLIENTE402,Solstheim,"0,363542321"
CLIENTE81,Pillarreach,"0,3635813659"
CLIENTE320,Quasmar,"0,3636353483"
CLIENTE275,Hollowmar,"0,3637497009"
CLIENTE518,Savois,"0,3639040727"
CLIENTE323,Spira,"0,3641745155"
CLIENTE523,Namek,"0,3643851501"
CLIENTE179,Swindale,"0,3647638276"
CLIENTE334,Marineford,"0,364838912"
CLIENTE518,Termina,"0,3648719075"
CLIENTE348,Pausen,"0,3650524092"
CLIENTE113,Noctis,"0,3652044466"
CLIENTE396,Raumor,"0,3652239745"
CLIENTE260,Brakmar,"0,3652314247"
CLIENTE34,Piscara,"0,365526594"
CLIENTE707,Nighthaven,"0,3655778257"
CLIENTE305,Solhara,"0,3658172858"
CLIENTE363,Rocabar,"0,3659965945"
CLIENTE542,Valyria,"0,3661637122"
CLIENTE243,Tahlenwald,"0,3664007513"
CLIENTE358,Stevanor,"0,3664395446"
CLIENTE355,Philgaia,"0,3668958405"
CLIENTE499,Dragmere,"0,3669736997"
CLIENTE448,Sidora,"0,3669979772"
CLIENTE225,Gerudo,"0,366999655"
CLIENTE671,Morrowind,"0,3675184464"
CLIENTE513,Savois,"0,3675566001"
CLIENTE378,Rlyeh,"0,3676031381"
CLIENTE622,Vancross,"0,3682411456"
CLIENTE77,Jadehold,"0,3683482185"
CLIENTE361,Solhara,"0,3685472917"
CLIENTE609,Solhara,"0,3686646126"
CLIENTE549,Azural,"0,3687190471"
CLIENTE291,Eredin,"0,368880522"
CLIENTE108,Alabasta,"0,3689237265"
CLIENTE62,Marineford,"0,369012759"
CLIENTE172,Windscar,"0,3694086569"
CLIENTE550,Askr,"0,3696473866"
CLIENTE292,Konoha,"0,3696554539"
CLIENTE94,Besaid,"0,3698962139"
CLIENTE125,Marineford,"0,370072695"
CLIENTE401,Klunheim,"0,3701077043"
CLIENTE27,Hazoria,"0,3701433642"
CLIENTE392,Windscar,"0,3705529961"
CLIENTE539,Zaphura,"0,3705585683"
CLIENTE604,Viscara,"0,3706534135"
CLIENTE344,Eredin,"0,3707155701"
CLIENTE47,Huern,"0,3708373342"
CLIENTE115,Hollowmar,"0,3708664786"
CLIENTE549,Lothlorien,"0,3709139759"
CLIENTE222,Yeygard,"0,3709326575"
CLIENTE677,Liones,"0,3710171859"
CLIENTE285,Perseon,"0,3710431834"
CLIENTE136,Mountglass,"0,3711043414"
CLIENTE353,Tarbean,"0,3714826738"
CLIENTE564,Mythra,"0,3715942118"
CLIENTE95,Nosgoth,"0,3715956732"
CLIENTE299,Wuhaven,"0,3717440911"
CLIENTE369,Ashkora,"0,3722768832"
CLIENTE230,Skellige,"0,3723812341"
CLIENTE232,Termina,"0,3725222736"
CLIENTE441,Altissia,"0,3727210071"
CLIENTE549,Yjigar,"0,3728040955"
CLIENTE400,Yeygard,"0,3728229786"
CLIENTE356,Fernwall,"0,3729615166"
CLIENTE494,Perseon,"0,3729656811"
CLIENTE189,Greywatch,"0,3730019325"
CLIENTE668,Prontera,"0,3730615758"
